ID;Organisation;Sector;Subsector;Service;Province_CODE;Municipality_CODE;Barangay;Status;Beneficiaries;Beneficiary_type
1;IFRC;Health;Safety;Ambulance Transport;1753;175318;1;Finished;1;Individual
2;IFRC;Health;Safety;Ambulance Transport;1753;175318;Barbacan;Finished;1;Individual
3;IFRC;Health;Safety;Ambulance Transport;1667;166707;Jubang;Finished;1;Individual
4;IFRC;Health;Safety;Ambulance Transport;1753;175316;Langogan;Finished;1;Individual
5;IFRC;Health;Safety;Ambulance Transport;1753;175318;Poblacion 1;Finished;1;Individual
6;IFRC;Health;Safety;Ambulance Transport;1753;175318;Tinitian;Finished;1;Individual
7;IFRC;Health;Safety;Ambulance Transport;1753;175318;Tinitian;Finished;1;Individual
8;IFRC;Health;Safety;Ambulance Transport;1667;166724;;Finished;1;Individual
9;IFRC;Health;Safety;Ambulance Transport;1667;166724;;Finished;1;Individual
10;IFRC;Health;Safety;Ambulance Transport;1667;;;Finished;1;Individual
11;IFRC;Health;Safety;Ambulance Transport;1667;;;Finished;1;Individual
12;IFRC;Health;Safety;Ambulance Transport;1667;;;Finished;1;Individual
13;IFRC;Health;Safety;Ambulance Transport;1667;;;Finished;1;Individual
14;IFRC;Health;Safety;Ambulance Transport;1667;;;Finished;1;Individual
15;IFRC;Health;Safety;Ambulance Transport;1667;166724;;Finished;3;Individuals
16;IFRC;Health;Safety;Ambulance Transport;1667;;;Finished;4;Individuals
17;IFRC;Health;Safety;Ambulance Transport;1667;;;Finished;6;Individuals
18;PRC;Relief;Non Food Items;Assorted Hygiene Kit;864;86407;Abgao;Finished;100;families
19;IFRC;Health;Health;Basic Health Care Unit;1667;166707;Poblacion 3;Finished;1;unit
20;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;San Roque;Finished;1;Individual
21;IFRC;Health;Safety;Blood Pressure Taking;722;72234;Tina-an;Finished;1;Individual
22;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;;Finished;1;Individual
23;IFRC;Health;Safety;Blood Pressure Taking;1667;;;Finished;1;Individual
24;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Washington;Finished;2;Individuals
25;IFRC;Health;Safety;Blood Pressure Taking;1667;;;Finished;2;Individuals
26;IFRC;Health;Safety;Blood Pressure Taking;1667;;;Finished;2;Individuals
27;IFRC;Health;Safety;Blood Pressure Taking;1667;;;Finished;2;Individuals
28;IFRC;Health;Safety;Blood Pressure Taking;1667;;;Finished;3;Individuals
29;PRC;Health;Safety;Blood Pressure Taking;722;72226;Ibo;Finished;4;Individuals
30;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Washington;Finished;4;Individuals
31;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;;Finished;4;Individuals
32;PRC;Health;Safety;Blood Pressure Taking;722;72226;Ibo;Finished;5;Individuals
33;IFRC;Health;Safety;Blood Pressure Taking;1753;175318;Magara;Finished;5;Individuals
34;IFRC;Health;Safety;Blood Pressure Taking;722;72217;Pahina Central;Finished;5;Individuals
35;PRC;Health;Safety;Blood Pressure Taking;722;72226;Pusok;Finished;5;Individuals
36;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Rizal;Finished;5;Individuals
37;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Washington;Finished;5;Individuals
38;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;;Finished;5;Individuals
39;IFRC;Health;Safety;Blood Pressure Taking;1667;;;Finished;5;Individuals
40;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Washington;Finished;6;Individuals
41;IFRC;Health;Safety;Blood Pressure Taking;864;86406;Poblacion;Finished;7;Individuals
42;PRC;Health;Safety;Blood Pressure Taking;722;72226;Ibo;Finished;11;Individuals
43;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Washington;Finished;12;Individuals
44;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;;Finished;12;Individuals
45;PRC;Health;Safety;Blood Pressure Taking;722;72226;Ibo;Finished;13;Individuals
46;IFRC;Health;Safety;Blood Pressure Taking;712;71201;Punong;Finished;13;Individuals
47;IFRC;Health;Safety;Blood Pressure Taking;712;71201;Punong;Finished;13;Individuals
48;PRC;Health;Safety;Blood Pressure Taking;722;72226;Bankal;Finished;14;Individuals
49;PRC;Health;Safety;Blood Pressure Taking;722;72226;Pusok;Finished;14;Individuals
50;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Capalayan;Finished;15;Individuals
51;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Washington;Finished;15;Individuals
52;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;;Finished;15;Individuals
53;IFRC;Health;Safety;Blood Pressure Taking;712;71228;Agape;Finished;16;Individuals
54;IFRC;Health;Safety;Blood Pressure Taking;712;71243;Poblacion;Finished;16;Individuals
55;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Washington;Finished;16;Individuals
56;IFRC;Health;Safety;Blood Pressure Taking;712;71246;Central;Finished;18;Individuals
57;IFRC;Health;Safety;Blood Pressure Taking;712;71245;Kawayanan;Finished;18;Individuals
58;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Washington;Finished;18;Individuals
59;PRC;Health;Safety;Blood Pressure Taking;722;72226;Canjulao;Finished;20;Individuals
60;IFRC;Health;Safety;Blood Pressure Taking;712;71228;Villa Limpia;Finished;20;Individuals
61;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Washington;Finished;21;Individuals
62;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;;Finished;21;Individuals
63;PRC;Health;Safety;Blood Pressure Taking;722;72226;Buaya;Finished;22;Individuals
64;PRC;Health;Safety;Blood Pressure Taking;619;61914;Culasi;Finished;22;individuals
65;PRC;Health;Safety;Blood Pressure Taking;722;72226;Ibo;Finished;22;Individuals
66;IFRC;Health;Safety;Blood Pressure Taking;722;72214;Perrelos;Finished;24;Individuals
67;PRC;Health;Safety;Blood Pressure Taking;722;72226;Pusok;Finished;24;Individuals
68;IFRC;Health;Safety;Blood Pressure Taking;712;71228;Sitio Alapog Kalbaryo;Finished;24;Individuals
69;IFRC;Health;Safety;Blood Pressure Taking;722;72230;Jagobiao;Finished;25;Individuals
70;IFRC;Health;Safety;Blood Pressure Taking;1667;;;Finished;25;Individuals
71;PRC;Health;Safety;Blood Pressure Taking;722;72226;Looc;Finished;26;Individuals
72;IFRC;Health;Safety;Blood Pressure Taking;712;71245;Paca-Paca;Finished;26;Individuals
73;IFRC;Health;Safety;Blood Pressure Taking;1667;;;Finished;28;Individuals
74;IFRC;Health;Safety;Blood Pressure Taking;712;71245;Centro;Finished;29;Individuals
75;IFRC;Health;Safety;Blood Pressure Taking;1753;175318;Tinitian;Finished;29;Individuals
76;IFRC;Health;Safety;Blood Pressure Taking;712;71229;Camay- An;Finished;30;Individuals
77;IFRC;Health;Safety;Blood Pressure Taking;712;71248;Tuboran;Finished;30;Individuals
78;IFRC;Health;Safety;Blood Pressure Taking;712;71214;Poblacion Sur;Finished;32;Individuals
79;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;San Roque;Finished;32;Individuals
80;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;San Roque;Finished;32;Individuals
81;IFRC;Health;Safety;Blood Pressure Taking;1667;166716;Consolacion;Finished;33;Individuals
82;IFRC;Health;Safety;Blood Pressure Taking;712;71246;Poblacion;Finished;33;Individuals
83;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Punta Bilar;Finished;33;Individuals
84;PRC;Health;Safety;Blood Pressure Taking;722;72226;Mactan;Finished;37;Individuals
85;IFRC;Health;Safety;Blood Pressure Taking;712;71245;Kawayanan;Finished;38;Individuals
86;IFRC;Health;Safety;Blood Pressure Taking;722;72250;Dumlog;Finished;39;Individuals
87;IFRC;Health;Safety;Blood Pressure Taking;712;71224;Lutao;Finished;41;Individuals
88;IFRC;Health;Safety;Blood Pressure Taking;712;71243;San Isidro;Finished;41;Individuals
89;IFRC;Health;Safety;Blood Pressure Taking;712;71243;Central;Finished;45;Individuals
90;PRC;Health;Safety;Blood Pressure Taking;722;72226;Pusok;Finished;45;Individuals
91;PRC;Health;Safety;Blood Pressure Taking;619;61914;Banica;Finished;55;individuals
92;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;Washington;Finished;55;Individuals
93;IFRC;Health;Safety;Blood Pressure Taking;1667;166724;;Finished;55;Individuals
94;IFRC;Health;Safety;Blood Pressure Taking;712;71214;Bonbon;Finished;56;Individuals
95;IFRC;Health;Safety;Blood Pressure Taking;712;71214;Poblacion Norte;Finished;56;Individuals
96;PRC;Health;Safety;Blood Pressure Taking;722;72226;Mactan;Finished;57;Individuals
97;IFRC;Health;Safety;Blood Pressure Taking;1753;175318;Minara;Finished;57;Individuals
98;PRC;Health;Safety;Blood Pressure Taking;722;72226;Canjulao;Finished;60;Individuals
99;IFRC;Health;Safety;Blood Pressure Taking;1753;175318;Poblacion 1;Finished;73;Individuals
100;IFRC;Health;Safety;Blood Pressure Taking;712;71246;Poblacion;Finished;78;Individuals
101;IFRC;Health;Safety;Blood Pressure Taking;712;71246;Poblacion;Finished;80;Individuals
102;PRC;Health;Safety;Blood Pressure Taking;722;72226;Pusok;Finished;113;Individuals
103;PRC;Health;Safety;Blood Pressure Taking;722;72226;Looc;Finished;200;Individuals
104;PRC;Health;Safety;Blood Pressure Taking;722;72226;Canjulao;Finished;360;Individuals
105;PRC;MDM;MDM;Cadaver Bag;1753;175318;Poblacion;Finished;10;individuals
106;PRC;MDM;MDM;Cadaver Bag;1753;175318;Poblacion;Finished;45;individuals
